corridor,year,title,URL
Ukraine-Poland,2022,Article 1,https://www.nbcnews.com/world/ukraine/ukrainian-refugees-years-after-russia-invasion-fear-return-rcna250438
Ukraine-Poland,2022,Article 2,https://www.npr.org/2022/11/01/1132167234/russia-ukraine-war-unemployment-displaced-economy
Ukraine-Poland,2022,Article 3,https://www.npr.org/2022/05/10/1093066817/ukraine-war-gas-prices-refugees
Ukraine-Poland,2022,Article 4,https://www.cas.sk/cl/1003185/2626559/biden-telefonoval-s-ukrajinskym-prezidentom-usa-budu-na-rusku-invaziu-reagovat
Ukraine-Poland,2022,Article 5,https://gazeta.ua/articles/politics/_rozmova-zelenskogo-ta-bajdena-pro-scho-govorili-lideri/1065472
Ukraine-Poland,2022,Article 6,https://www.lematin.ch/story/joe-biden-assure-au-president-ukrainien-de-son-soutien-face-a-la-russie-753628635749
Ukraine-Poland,2022,Article 7,https://gazeta.ua/articles/politics/_rozmova-zelenskogo-ta-bajdena-pro-scho-govorili-lideri/1065472
Ukraine-Poland,2022,Article 8,https://naslovi.net/2022-01-03/blic/da-sacuvamo-mir-u-evropi-zelenski-razgovarao-sa-bajdenom-o-akcijama-u-ukrajini-reformi-i-borbama-protiv-oligarha/29657762
Ukraine-Poland,2022,Article 9,https://gazeta.ua/articles/politics/_rozmova-zelenskogo-ta-bajdena-pro-scho-govorili-lideri/1065472
Ukraine-Poland,2022,Article 10,https://naslovi.net/2022-01-03/blic/da-sacuvamo-mir-u-evropi-zelenski-razgovarao-sa-bajdenom-o-akcijama-u-ukrajini-reformi-i-borbama-protiv-oligarha/29657762
Ukraine-Poland,2022,Article 11,https://news.online.ua/u-zelenskogo-utochnili-vremya-segodnyashnego-razgovora-s-baydenom_n840515/
Ukraine-Poland,2022,Article 12,http://www.hispantv.com/noticias/venezuela/535014/eeuu-confrontacion-dialogos-intervenezolanos
