sqldate,eventcode,actor1name,actor2name,sourceurl,url_text,qwen_just_URL
20210101,130,GERMANY,,https://www.e110.de/terrorakte-vielleicht-verhindert/,terrorakte vielleicht verhindert,"- Sentiment: neutral
- Reason: Not enough context to determine sentiment clearly."
20220101,43,,CHILE,http://www.funkuhr.de/fernsehprogramm/sendungsdetails/169446982/pumas-in-der-wildnis-patagoniens.html,fernsehprogramm sendungsdetails pumas der wildnis patagoniens html,"- Sentiment: neutral
- Reason: Descriptive title, no emotional content."
20220101,112,,CRIMINAL,https://www.brasil247.com/brasil/bolsonaro-e-eleito-corrupto-do-ano-por-consorcio-internacional,brasil bolsonaro eleito corrupto ano por consorcio internacional,"- Sentiment: negative
- Reason: Implies Bolsonaro elected amidst corruption allegations, viewed unfavorably."
20220101,46,,AUTHORITIES,https://ria.ru/20220102/status-1766397981.html,status html,"- Sentiment: unclear
- Reason: Insufficient information in ""status html"" to determine sentiment."
20220101,110,,PRIME MINISTER,https://www.aftenposten.no/verden/i/OrevnE/foerste-nyttaarsdag-ble-det-registrert-over-160000-koronatilfeller-i-en,verden orevne foerste nyttaarsdag ble det registrert over koronatilfeller,"- Sentiment: unclear
- Reason: Insufficient information to determine sentiment."
20220101,190,,PRESIDENT,https://alquds.com/2022/01/01/%D8%A5%D8%B5%D8%A7%D8%A8%D8%A7%D8%AA-%D8%AE%D9%84%D8%A7%D9%84-%D9%85%D9%88%D8%A7%D8%AC%D9%87%D8%A7%D8%AA-%D9%81%D9%8A-%D8%A8%D8%B1%D9%82%D8%A9/,إصابات خلال مواجهات برقة,"- Sentiment: negative
- Reason: Mentions injuries during confrontations, indicating conflict and harm."
20220101,42,,ITALIAN,https://www.interris.it/copertina/perno-opbg-omicron-bambini/,copertina perno opbg omicron bambini,"- Sentiment: unclear
- Reason: Insufficient context to determine sentiment."
20220101,51,,WORKER,https://www.franceguyane.fr/actualite/social/mobilisation-sociale-a-pointe-a-pitre-elie-domota-a-ete-arrete-493999.php,actualite social mobilisation sociale pointe pitre elie domota ete arrete php,"- Sentiment: unclear
- Reason: Insufficient context for sentiment analysis."
20220101,51,,WORKER,https://www.franceguyane.fr/actualite/social/mobilisation-sociale-a-pointe-a-pitre-elie-domota-a-ete-arrete-493999.php,actualite social mobilisation sociale pointe pitre elie domota ete arrete php,"- Sentiment: negative
- Reason: Social unrest and arrest suggest conflict and tension."
20220101,1823,,MILITARY,https://www.franceguyane.fr/actualite/france/feminicides-deux-hommes-en-garde-a-vue-le-jour-du-nouvel-an-494064.php,actualite france feminicides deux hommes garde vue jour nouvel php,"- Sentiment: negative
- Reason: Mentions 'feminicides' and men in custody, suggesting serious criminal incidents."
20220101,43,,POLE,https://as.com/futbol/2022/01/01/primera/1641057005_745473.html,futbol primera html,"- Sentiment: unclear
- Reason: Insufficient information to determine sentiment."
20220101,51,,SAUDI ARABIA,https://www.okaz.com.sa/news/na/2092790,news,"- Sentiment: unclear
- Reason: Insufficient information provided to determine sentiment."
20220101,51,,SAUDI ARABIA,https://www.okaz.com.sa/news/na/2092790,news,"- Sentiment: unclear
- Reason: Insufficient information to determine sentiment."
20220101,20,,INTELLIGENCE,https://www.diariolaprovinciasj.com/elpais/2022/1/1/cuales-son-los-sectores-que-tendran-mayor-demanda-laboral-en-2022-165873.html,elpais cuales son los sectores que tendran mayor demanda laboral html,"- Sentiment: neutral
- Reason: Query about job market sectors, no clear positive or negative context."
20220101,42,,VENEZUELAN,https://noticias.uol.com.br/ultimas-noticias/efe/2022/01/01/chanceler-venezuelano-pede-que-bolsonaro-aprove-transferencia-de-migrantes.htm,ultimas noticias efe chanceler venezuelano pede que bolsonaro aprove transferencia migrantes htm,"- Sentiment: unclear
- Reason: Insufficient context to determine sentiment."
20220101,20,,BASQUE,https://omirante.pt/cavaleiro-andante/2022-01-01-Em-Abrantes-nada-como-dantes-a2fb5365,cavaleiro andante abrantes nada como dantes a2fb5365,"- Sentiment: unclear
- Reason: Insufficient context to determine sentiment."
20220101,50,,CATALAN,https://sport1.oslobodjenje.ba/s1/fudbal/ino-fudbal/primera/postigao-dogovor-sa-kataloncima-barcelona-sljedeceg-ljeta-dobija-veliko-pojacanje-721568,fudbal ino fudbal primera postigao dogovor kataloncima barcelona sljedeceg ljeta dobija veliko pojacanje,"- Sentiment: positive
- Reason: Agreement for strengthening Barcelona next season implies positive development."
20220101,51,,INDIGENOUS,https://g1.globo.com/mundo/noticia/2022/01/01/a-epidemia-de-desaparecimentos-de-indigenas-que-intriga-os-eua.ghtml,mundo noticia epidemia desaparecimentos indigenas que intriga eua ghtml,"- Sentiment: unclear
- Reason: Insufficient information to determine sentiment."
20220101,51,,INDIGENOUS,https://g1.globo.com/mundo/noticia/2022/01/01/a-epidemia-de-desaparecimentos-de-indigenas-que-intriga-os-eua.ghtml,mundo noticia epidemia desaparecimentos indigenas que intriga eua ghtml,"- Sentiment: unclear
- Reason: Insufficient context to determine sentiment."
20220101,161,MADEIRA,,https://www.akhbarona.com/last/340605.html,last html,"- Sentiment: unclear
- Reason: Insufficient information in text to determine sentiment."
20220101,112,BRAZIL,CRIMINAL,https://www.brasil247.com/brasil/bolsonaro-e-eleito-corrupto-do-ano-por-consorcio-internacional,brasil bolsonaro eleito corrupto ano por consorcio internacional,"- Sentiment: negative
- Reason: Text suggests Bolsonaro's election and corruption, viewed negatively."
20220101,112,BRAZIL,CRIMINAL,https://www.brasil247.com/brasil/bolsonaro-e-eleito-corrupto-do-ano-por-consorcio-internacional,brasil bolsonaro eleito corrupto ano por consorcio internacional,"- Sentiment: negative
- Reason: Implies corruption allegation against elected leader."
20220101,100,BUSINESS,,https://pronedra.ru/znaki-vostochnogo-kalendarya-po-godu-rozhdeniya-kotorym-povezet-v-2022-godu-628853.html,znaki vostochnogo kalendarya godu rozhdeniya kotorym povezet godu html,"- Sentiment: unclear
- Reason: Text is not coherent or contextually informative."
20220101,90,COMPANY,ADMINISTRATION,https://www.republika.co.id/berita/r520kx430/jepang-bantu-perusahaan-bill-gates-bangun-reaktor-nuklir,berita r520kx430 jepang bantu perusahaan bill gates bangun reaktor nuklir,"- Sentiment: positive
- Reason: Japan aiding Gates' nuclear reactor project indicates supportive international collaboration."
20220101,112,COMPANIES,REPRESENTATIVES,https://www.alarab.com/Article/1018144,article,"- Sentiment: unclear
- Reason: Insufficient information provided for sentiment analysis."
20220101,60,SWITZERLAND,,https://evz.ro/sinuciderea-asistata-este-acum-legala-austria-este-tara-care-a-decis-sa-curme-suferintele-bolnavilor.html,sinuciderea asistata este acum legala austria este tara care decis curme suferintele bolnavilor html,"- Sentiment: neutral
- Reason: Statement of fact about assisted suicide legality, no clear positive or negative tone."
20220101,81,SWITZERLAND,,https://evz.ro/sinuciderea-asistata-este-acum-legala-austria-este-tara-care-a-decis-sa-curme-suferintele-bolnavilor.html,sinuciderea asistata este acum legala austria este tara care decis curme suferintele bolnavilor html,"- Sentiment: neutral
- Reason: Neutral, discusses legal change without clear positive or negative framing."
20220101,42,CHILE,,http://www.funkuhr.de/fernsehprogramm/sendungsdetails/169446982/pumas-in-der-wildnis-patagoniens.html,fernsehprogramm sendungsdetails pumas der wildnis patagoniens html,"- Sentiment: neutral
- Reason: Descriptive title, no clear positive or negative connotations."
20220101,54,CHINA,EMBASSY,https://gordonua.com/news/worldnews/kitay-otkryl-posolstvo-v-nikaragua-posle-vozobnovleniya-diplomaticheskih-otnosheniy-1589047.html,news worldnews kitay otkryl posolstvo nikaragua posle vozobnovleniya diplomaticheskih otnosheniy html,"- Sentiment: positive
- Reason: Diplomatic relations restored, embassy opened."
20220101,20,COLOMBIA,COLOMBIA,https://www.colombia.com/actualidad/nacionales/12415-contagios-por-la-covid-19-registra-colombia-en-el-primer-dia-del-ano-2022-333346,actualidad nacionales contagios por covid registra colombia primer dia del ano,"- Sentiment: neutral
- Reason: News about COVID cases, no clear positive or negative tone."
20220101,180,PRISON,,https://pronedra.ru/zaprety-i-primety-rozhdestvenskogo-sochelnik-chto-gotovyat-v-prazdnik-628846.html,zaprety primety rozhdestvenskogo sochelnik chto gotovyat prazdnik html,"- Sentiment: unclear
- Reason: Insufficient context to determine sentiment."
20220101,30,PRISON,ACADEMICS,https://www.notigape.com/trabajara-gobierno-municipal-por-bienestar-y-progreso-en-2022/243835,trabajara gobierno municipal por bienestar progreso,"- Sentiment: positive
- Reason: Focus on welfare and progress indicates a constructive approach."
20220101,173,POLICE,FRANCE,https://www.franceguyane.fr/actualite/social/mobilisation-sociale-a-pointe-a-pitre-elie-domota-a-ete-arrete-493999.php,actualite social mobilisation sociale pointe pitre elie domota ete arrete php,"- Sentiment: negative
- Reason: Social unrest and arrest indicate conflict."
20220101,186,PERPETRATOR,BAMAKO,http://malijet.com/les_faits_divers_au_mali/265488-commissariat-de-police-du-11eme-arrondissement-fin-de-course-pou.html,les faits divers mali commissariat police 11eme arrondissement fin course pou html,"- Sentiment: unclear
- Reason: Insufficient context to determine sentiment."
20220101,10,COMMUNITY,,https://www.lopinionista.it/fico-ringrazia-mattarella-120130.html,fico ringrazia mattarella html,"- Sentiment: neutral
- Reason: Text is too brief and lacks context for sentiment analysis."
20220101,111,RESIDENTS,,https://g1.globo.com/sp/piracicaba-regiao/noticia/2022/01/01/biblioteca-municipal-de-limeira-oferece-oficinas-gincana-show-e-sarau-durante-as-ferias-escolares.ghtml,piracicaba regiao noticia biblioteca municipal limeira oferece oficinas gincana show sarau durante ferias escolares ghtml,"- Sentiment: positive
- Reason: Events like workshops, games, and shows suggest fun, enriching activities."
20220101,1723,POPULATION,,https://gordonua.com/news/worldnews/vo-francii-v-novogodnyuyu-noch-sozhgli-874-mashiny-mvd-1589046.html,news worldnews francii novogodnyuyu noch sozhgli mashiny mvd html,"- Sentiment: negative
- Reason: Cars of MVD (police) burned during New Year's night, indicates conflict/vandalism."
20220101,80,ACTOR,,https://www.interris.it/rubriche/opinione/affrontare-questioni-pressanti-luce-dottrina-sociale-chiesa/,rubriche opinione affrontare questioni pressanti luce dottrina sociale chiesa,"- Sentiment: neutral
- Reason: Text is about addressing issues with church doctrine, no clear emotional tone."
20220101,833,EUROPE,,https://www.brasil247.com/blog/brasil-para-principiantes,blog brasil para principiantes,"- Sentiment: unclear
- Reason: Insufficient information to determine sentiment."
20220101,90,EUROPE,,https://alquds.com/2022/01/02/%D8%A3%D9%88%D8%B1%D9%88%D8%A8%D8%A7-%D8%AA%D8%AA%D8%AC%D8%A7%D9%88%D8%B2-%D8%B9%D8%AA%D8%A8%D8%A9-100-%D9%85%D9%84%D9%8A%D9%88%D9%86-%D8%A5%D8%B5%D8%A7%D8%A8%D8%A9-%D8%A8%D9%83%D9%88%D9%81%D9%8A/,أوروبا تتجاوز عتبة مليون إصابة بكوفي,"- Sentiment: negative
- Reason: Milestone of one million COVID cases in Europe indicates severe health crisis."
20220101,112,EUROPEAN,BELARUS,https://www.skivefolkeblad.dk/artikel/8426302b-78a7-3353-beaa-8731a102cde4/,artikel 8426302b 78a7 beaa 8731a102cde4,"- Sentiment: unclear
- Reason: Insufficient information in URL-derived text."
20220101,112,EUROPEAN,RUSSIA,https://www.skivefolkeblad.dk/artikel/8426302b-78a7-3353-beaa-8731a102cde4/,artikel 8426302b 78a7 beaa 8731a102cde4,"- Sentiment: unclear
- Reason: Insufficient information in provided text."
20220101,112,EUROPEAN,RUSSIA,https://www.skivefolkeblad.dk/artikel/8426302b-78a7-3353-beaa-8731a102cde4/,artikel 8426302b 78a7 beaa 8731a102cde4,"- Sentiment: unclear
- Reason: Insufficient context in provided text."
20220101,50,FRANCE,,https://as.com/futbol/2022/01/01/primera/1641057005_745473.html,futbol primera html,"- Sentiment: unclear
- Reason: Insufficient context to determine sentiment."
20220101,141,PARIS,POLICE,https://noticias.uol.com.br/ultimas-noticias/deutschewelle/2022/01/01/franca-ve-queda-em-numero-de-carros-incendiados-no-ano-novo.htm,ultimas noticias deutschewelle franca queda numero carros incendiados ano novo htm,"- Sentiment: negative
- Reason: Mentions 'incendiados' (burned cars), suggests violence or unrest."
